params,mean_fit_time,std_fit_time,mean_score_time,std_score_time,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,mean_train_score,std_train_score,param_learning_rate,param_max_depth,param_n_estimators,param_subsample
"{'learning_rate': 0.2, 'max_depth': 7, 'n_estimators': 192, 'subsample': 1.0}",13.45673759149986,0.5712142971563773,0.0998626262498874,0.0022346662320066085,0.949124,0.949792,0.949608,0.948512,0.949259,0.000495510847509908,14,0.951832,0.9519586666666666,0.952368,0.951352,0.9518776666666666,0.00036242194561956245,0.2,7,192,1.0
"{'learning_rate': 0.2, 'max_depth': 11, 'n_estimators': 288, 'subsample': 0.5}",79.8257904940001,0.781438987268797,0.1424149615004353,0.019888706452234856,0.950364,0.95072,0.950708,0.949252,0.950261,0.0005998291423397238,1,0.9709893333333334,0.970544,0.9706213333333333,0.96996,0.9705286666666667,0.00036892335849663993,0.2,11,288,0.5
"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 174, 'subsample': 1.0}",7.655929171750358,0.4476555909214523,0.09637045149975165,0.018582392759125904,0.944668,0.945008,0.945488,0.943684,0.944712,0.00066115656239654,30,0.9456613333333334,0.9454026666666666,0.946076,0.944728,0.9454670000000001,0.0004896187859504201,0.2,5,174,1.0
"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 203, 'subsample': 1.0}",14.38186135324986,0.9950546350418966,0.10445749324935605,0.009429002336998853,0.944008,0.944272,0.944436,0.942396,0.943778,0.0008123767598842331,32,0.945804,0.9453413333333334,0.9460146666666667,0.9445186666666666,0.9454196666666667,0.0005743853719895496,0.1,7,203,1.0
"{'learning_rate': 0.15, 'max_depth': 8, 'n_estimators': 101, 'subsample': 0.7}",9.992094423499566,0.7859333875848775,0.10218304675026957,0.011130376166825655,0.940404,0.94328,0.942728,0.941552,0.941991,0.0011086004690599796,36,0.9432706666666667,0.9453346666666667,0.9448,0.9441506666666667,0.944389,0.0007698504183714091,0.15,8,101,0.7
"{'learning_rate': 0.15, 'max_depth': 5, 'n_estimators': 291, 'subsample': 0.5}",12.291207079249943,0.1945655383335531,0.10104387775027135,0.008902383689297293,0.946608,0.947968,0.947688,0.946292,0.947139,0.0007049843969904555,24,0.947952,0.9484546666666667,0.9486973333333333,0.9476773333333334,0.9481953333333334,0.0004021171747416385,0.15,5,291,0.5
"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 157, 'subsample': 0.7}",11.44698578749967,0.5682901686516749,0.131451490499785,0.038890629048587345,0.936916,0.938716,0.940196,0.937028,0.938214,0.0013483070866831732,39,0.938344,0.9398626666666666,0.941652,0.9387066666666667,0.9396413333333333,0.0012892288823599825,0.1,7,157,0.7
"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 188, 'subsample': 0.5}",13.230170111499774,0.4360199635162113,0.12222915775055299,0.025978073309464694,0.942056,0.942792,0.943184,0.941228,0.942315,0.0007468835250559659,35,0.9441893333333333,0.944004,0.944552,0.9432906666666667,0.9440089999999999,0.0004591832120430662,0.1,7,188,0.5
"{'learning_rate': 0.2, 'max_depth': 6, 'n_estimators': 269, 'subsample': 1.0}",13.21077964224969,0.7834044406207624,0.09134421649923752,0.010183425812870716,0.949788,0.949956,0.949896,0.94872,0.94959,0.0005058893159575439,10,0.951688,0.9516106666666667,0.9521653333333333,0.9510773333333333,0.9516353333333334,0.00038589060050168175,0.2,6,269,1.0
"{'learning_rate': 0.15, 'max_depth': 9, 'n_estimators': 274, 'subsample': 0.7}",31.679572844750055,6.732748311116747,0.10345498474998749,0.019113121181204843,0.9502,0.950504,0.950552,0.949176,0.950108,0.0005547612098912337,3,0.9572813333333333,0.9565253333333333,0.9575253333333333,0.9564973333333333,0.9569573333333332,0.0004543742950475998,0.15,9,274,0.7
