params,mean_fit_time,std_fit_time,mean_score_time,std_score_time,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,mean_train_score,std_train_score,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators
"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 6, 'n_estimators': 280}",28.004205137999975,4.010769739252677,20.02943724000005,8.48798443740997,0.7904279828071594,0.7926160097122192,0.7930120229721069,0.7937080264091492,0.7924410104751587,0.001226202447983119,10,0.791753351688385,0.7918493151664734,0.7939226627349854,0.7943946719169617,0.7929800003767014,0.0011909055312790881,10,4,6,280
"{'max_depth': 6, 'min_samples_leaf': 5, 'min_samples_split': 6, 'n_estimators': 112}",16.932084138749985,2.9270227832125824,13.35871423175007,6.318317723359729,0.7732999920845032,0.772167980670929,0.7727159857749939,0.7729920148849487,0.7727939933538437,0.0004163004635291392,37,0.7735120058059692,0.7717800140380859,0.7731333374977112,0.7731239795684814,0.772887334227562,0.0006581966289024248,6,5,6,112
"{'max_depth': 5, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 97}",17.24796206875004,6.211854473436065,21.32617952325006,6.668868195818365,0.7666320204734802,0.7673640251159668,0.7664560079574585,0.7664520144462585,0.766726016998291,0.0003754570499898434,42,0.7667199969291687,0.7666026949882507,0.7671346664428711,0.7667040228843689,0.7667903453111649,0.0002038198601993068,5,3,8,97
"{'max_depth': 8, 'min_samples_leaf': 4, 'min_samples_split': 9, 'n_estimators': 161}",24.15306916599991,4.993360210859077,19.768314031999978,12.334581965642014,0.7796040177345276,0.7807400226593018,0.7789959907531738,0.77948397397995,0.7797060012817383,0.0006389467752817377,23,0.7804120182991028,0.7801053524017334,0.7795506715774536,0.7796239852905273,0.7799230068922043,0.000353705225365065,8,4,9,161
"{'max_depth': 6, 'min_samples_leaf': 6, 'min_samples_split': 6, 'n_estimators': 267}",30.694187053250005,8.347965919315165,14.345568413750073,5.614738675595013,0.7734240293502808,0.7724000215530396,0.7746959924697876,0.7730799913406372,0.7734000086784363,0.0008340468103728375,35,0.7737573385238647,0.7718906402587891,0.7750826478004456,0.7731266617774963,0.7734643220901489,0.0011505787378671016,6,6,6,267
"{'max_depth': 11, 'min_samples_leaf': 4, 'min_samples_split': 7, 'n_estimators': 201}",30.046336559250108,7.594857176641415,19.01087993999994,5.383404827461048,0.7949640154838562,0.7968440055847168,0.796396017074585,0.7972239851951599,0.7963570058345795,0.0008559740011181988,4,0.7968000173568726,0.7963506579399109,0.7972319722175598,0.7984133362770081,0.7971989959478378,0.0007672305978576643,11,4,7,201
"{'max_depth': 7, 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 31}",17.57986025424998,7.304058211928343,20.3577691375001,5.0444977679192124,0.7779800295829773,0.7766799926757812,0.7760159969329834,0.7760840058326721,0.7766900062561035,0.0007883187072056,33,0.7785213589668274,0.7761626839637756,0.7769079804420471,0.7763386368751526,0.7769826650619507,0.0009300938167880803,7,5,2,31
"{'max_depth': 8, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 58}",20.768943540750058,1.6975782675169635,12.257133674249985,4.604175780556237,0.7828360199928284,0.7821720242500305,0.7797279953956604,0.7797160148620605,0.781113013625145,0.0014106856034178912,18,0.7835800051689148,0.7813400030136108,0.7804880142211914,0.779861330986023,0.781317338347435,0.0014078272954249505,8,4,2,58
"{'max_depth': 6, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 179}",20.350138309250042,4.835230865124878,17.351780151750063,4.693411500770878,0.7728959918022156,0.7724199891090393,0.773032009601593,0.7721400260925293,0.7726220041513443,0.00035926544106001235,38,0.7732359766960144,0.7720986604690552,0.7734053134918213,0.7721986770629883,0.7727346569299698,0.0005900990696245272,6,3,8,179
"{'max_depth': 11, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 280}",26.80428394750004,7.144711731506865,15.461108847500043,3.5627263471176334,0.7958120107650757,0.7971479892730713,0.7966639995574951,0.7972760200500488,0.7967250049114227,0.0005744156634498624,1,0.7977413535118103,0.7965493202209473,0.7975999712944031,0.7984960079193115,0.797596663236618,0.0006940271013701332,11,4,5,280
